medium,concentration,r0_mean,r0_std,K0_mean,K0_std,q_mean,q_std,c0_mean,c0_std,alpha_mean,alpha_std,MIC_mean,MIC_std
glucose,0.2,1.0748790150895338,0.004574871280143,0.3500282566544016,0.0011815124937451663,18.579808382533955,0.4365647900885371,0.016609316856169187,7.526390065555639e-05,6.209776574621853,0.009649656212139203,0.01870703861255658,3.3544450098134785e-05
glucose,0.025,1.2103841690503268,0.012192370540025142,0.21281952600265858,0.001127718410325025,39.11827962771324,3.4577576235486345,0.04226371628400703,0.04683104993465462,6.209982315214763,0.01007198875759744,0.02068769463403277,0.0037593884749479015
glucose,0.00625,1.1442567383679207,0.009771695752505447,0.16460263569856692,0.0007733924167456593,45.915499436679276,0.5420764652966236,0.11254497158509655,0.06375746393123913,6.21036090499659,0.010062436110223722,0.02490541469657002,0.0001485566149820991
glycerol,0.2,0.9293837515658369,0.01277718294365972,0.17765532199302048,0.0018027723942838818,23.18103123207398,0.5246040267512645,0.07987083981093758,0.04297966219027211,6.209982782092293,0.009941081094618526,0.03808398926009046,0.0018728465420501644
glycerol,0.025,0.8234121113373044,0.024895118704946807,0.175165652434461,0.004146308313500046,19.625108118064425,11.265035481776108,0.07609254804744484,0.05515993006113029,6.209352062948341,0.009865510796559509,0.030367460881588707,0.0035742058548593305
glycerol,0.00625,1.0864800025878645,0.010689707043968683,0.15269724104454252,0.0009990174536090644,35.13428271174703,0.5256735247423235,0.10128195975411557,0.052089423532776985,6.210039101482456,0.00995390935475202,0.030787489835212723,0.0003155110418290633
TMP,1.0,0.5373853330627988,0.003706321849962141,0.076390609043571,0.0006323764547114938,4.080236990988615,0.11325377539108401,0.11552113586964839,0.057972865872544126,6.209780889281959,0.009662612982485197,0.09162166401161564,0.018416830854474982
TMP,0.4,0.6106396257193346,0.0021101085475161976,0.24630465634315368,0.0014388003602076723,11.783887440480521,0.09911034182571023,0.12905148301984676,0.061405447286226045,6.210239661063446,0.009984099470160303,0.05100894958861512,0.0010185393035306656
TMP,0.0,1.1032955963684434,0.004096375769808151,0.33925430906502313,0.000957239532036955,26.25387966619718,0.37489062990409033,0.01782545616858698,7.739984080750176e-05,6.209695440748907,0.009901180012205486,0.01852226088447381,3.0106372731483593e-05
CHL,6.0,0.5501088595744676,0.03480215486341688,0.014641689378888564,0.000335342327969767,0.055921342182493804,0.05502856826443094,0.09279860227628238,0.05346550362266618,6.209654770744245,0.00970878995489181,0.19195047789275713,0.09887799356585127
CHL,1.4,0.6187906118160255,0.013409713995384896,0.1656125810086366,0.0045531052111623385,3.0494057522193283,0.8662698038695748,0.023534268277378357,0.0007098849177426422,6.209805465792253,0.0100129816143644,0.031222258337550345,0.001150953139678317
CHL,0.0,1.019425377010729,0.022690295418411666,0.24973906493501397,0.004376356425785428,20.84635275418147,2.009226741822947,0.018667982045107372,0.0006469478727344478,6.210101837207569,0.009857388996210789,0.019847961557657896,0.0002755743628636713
